TIMESTAMP,NETRAD,G,H,LE
2023-07-06 00:00:00,-64.37,-8.22,-3.29,1.89
2023-07-06 00:30:00,-63.49,33.75,-4.07,0.47
2023-07-06 01:00:00,-63.22,30.56,-2.38,-0.29
2023-07-06 01:30:00,-62.87,43.02,-0.92,-0.4
2023-07-06 02:00:00,-62.68,47.17,-4.98,-0.4
2023-07-06 02:30:00,-62.83,12.22,-8.17,-0.22
2023-07-06 03:00:00,-62.61,-25.05,,-0.49
2023-07-06 03:30:00,-62.41,-17.25,-5.94,-3.32
2023-07-06 04:00:00,-60.02,-15.79,-6.33,-2.23
2023-07-06 04:30:00,-76.37,-31.4,-23.69,-2.85
2023-07-06 05:00:00,-21.9,-47.86,-11.18,0.36
2023-07-06 05:30:00,53.48,-30.85,10.09,17.24
2023-07-06 06:00:00,119.66,-18.09,48.88,21.59
2023-07-06 06:30:00,191.64,-5.4,108.15,40.43
2023-07-06 07:00:00,283.95,30.91,127.58,69.82
2023-07-06 07:30:00,330.44,71.58,143.43,91.71
2023-07-06 08:00:00,395.95,93.1,186.38,110.96
2023-07-06 08:30:00,462.46,121.7,203.03,143.12
2023-07-06 09:00:00,516.94,151.42,155.1,154.47
2023-07-06 09:30:00,561.57,155.5,223.36,231.63
2023-07-06 10:00:00,597.74,151.64,212.81,238.9
2023-07-06 10:30:00,563.78,127.04,168.74,239.78
2023-07-06 11:00:00,570.9,85.87,140.33,231.54
2023-07-06 11:30:00,572.71,42.48,234.41,381.94
2023-07-06 12:00:00,569.6,21.42,170.43,297.72
2023-07-06 12:30:00,559.89,25.3,204.81,371.69
2023-07-06 13:00:00,545.39,23.29,151.39,348.51
2023-07-06 13:30:00,525.92,13.4,173.75,401.07
2023-07-06 14:00:00,488.9,2.42,120.8,391.54
2023-07-06 14:30:00,447.8,-10.02,85.62,295.51
2023-07-06 15:00:00,405.02,-42.28,80.62,376.54
2023-07-06 15:30:00,353.9,-55.9,49.92,322.83
2023-07-06 16:00:00,297.2,-62.73,29.42,291.32
2023-07-06 16:30:00,192.41,-53.2,1.64,229.99
2023-07-06 17:00:00,123.99,-29.41,-9.21,190.88
2023-07-06 17:30:00,61.94,-14.2,-22.3,157.4
2023-07-06 18:00:00,3.31,-19.82,-22.68,111.54
2023-07-06 18:30:00,-36.99,-35.7,-24.41,53.69
2023-07-06 19:00:00,-49.29,-70.7,-13.07,19.5
2023-07-06 19:30:00,-67.66,-104.41,0.58,1.25
2023-07-06 20:00:00,-67.66,-117.27,2.56,0.01
2023-07-06 20:30:00,-67.58,-111.88,-17.99,22.29
2023-07-06 21:00:00,-67.1,-94.33,-7.15,4.96
2023-07-06 21:30:00,-66.27,-73.49,0.6,-0.41
2023-07-06 22:00:00,-65.48,-60.99,-2.67,0.89
2023-07-06 22:30:00,-64.91,-55.15,-4.04,2.35
2023-07-06 23:00:00,-64.74,21.91,-4.42,0.35
2023-07-06 23:30:00,-64.06,34.74,-0.84,0.5
