TIMESTAMP,NETRAD,G,H,LE
2026-05-17 00:00:00,-110.36,-31.19,-157.44,74.57
2026-05-17 00:30:00,-111.35,-31.72,-113.34,63.53
2026-05-17 01:00:00,-110.58,-30.17,-110.47,61.03
2026-05-17 01:30:00,-110.55,-31.17,-103.47,56.89
2026-05-17 02:00:00,-110.13,-32.64,-125.89,73.86
2026-05-17 02:30:00,-109.11,-33.52,-129.59,68.76
2026-05-17 03:00:00,-108.25,-33.98,-85.42,46.75
2026-05-17 03:30:00,-107.79,-34.64,-83.67,46.13
2026-05-17 04:00:00,-105.78,-33.67,-91.71,47.83
2026-05-17 04:30:00,-105.84,-30.79,-90.55,54.44
2026-05-17 05:00:00,-10.7,-27.58,-112.1,75.45
2026-05-17 05:30:00,-34.77,-23.56,-60.66,63.06
2026-05-17 06:00:00,133.02,-20.58,-47.99,122.28
2026-05-17 06:30:00,211.18,-16.19,-19.06,158.98
2026-05-17 07:00:00,293.9,-12.74,15.81,154.81
2026-05-17 07:30:00,368.35,0.66,45.84,179.02
2026-05-17 08:00:00,442.46,16.64,97.59,271.64
2026-05-17 08:30:00,523.36,32.02,109.83,254.61
2026-05-17 09:00:00,580.4,45.98,146.14,266.69
2026-05-17 09:30:00,631.68,69.4,171.56,298.46
2026-05-17 10:00:00,669.32,117.52,194.15,360.9
2026-05-17 10:30:00,689.19,152.23,184.13,329.39
2026-05-17 11:00:00,685.56,164.68,181.58,349.09
2026-05-17 11:30:00,664.34,160.53,200.73,403.69
2026-05-17 12:00:00,652.68,145.61,188.3,379.8
2026-05-17 12:30:00,645.53,90.26,195.3,362.25
2026-05-17 13:00:00,611.6,46.9,232.42,436.75
2026-05-17 13:30:00,565.96,22.32,190.43,355.83
2026-05-17 14:00:00,513.54,13.71,164.76,347.75
2026-05-17 14:30:00,450.18,11.59,117.93,340.67
2026-05-17 15:00:00,360.77,20.77,108.55,466.37
2026-05-17 15:30:00,283.58,24.46,67.42,359.88
2026-05-17 16:00:00,206.38,18.07,3.84,266.51
2026-05-17 16:30:00,125.41,6.09,-28.0,240.49
2026-05-17 17:00:00,70.97,-5.5,-63.93,320.05
2026-05-17 17:30:00,-41.34,-13.13,-91.85,177.1
2026-05-17 18:00:00,-14.99,-20.04,-113.36,113.24
2026-05-17 18:30:00,-113.88,-26.91,-106.49,84.64
2026-05-17 19:00:00,-118.06,-32.03,-115.39,82.54
2026-05-17 19:30:00,-120.76,-35.55,-126.61,73.96
2026-05-17 20:00:00,-123.1,-38.56,-127.46,65.11
2026-05-17 20:30:00,-123.14,-39.77,-166.25,90.27
2026-05-17 21:00:00,-124.64,-39.12,-143.07,77.64
2026-05-17 21:30:00,-122.59,-39.69,-150.96,103.81
2026-05-17 22:00:00,-120.7,-40.05,-114.48,64.99
2026-05-17 22:30:00,-119.41,-39.77,-124.44,69.36
2026-05-17 23:00:00,-119.09,-38.86,-110.03,61.73
2026-05-17 23:30:00,-118.48,-40.47,-107.91,58.68
