TIMESTAMP,NETRAD,G,H,LE
2023-06-24 00:00:00,-81.14,43.89,-4.47,-0.2
2023-06-24 00:30:00,-74.48,-16.11,-8.52,-0.26
2023-06-24 01:00:00,-80.23,-18.91,-3.39,-0.78
2023-06-24 01:30:00,-77.99,-20.82,-3.65,-0.11
2023-06-24 02:00:00,-70.91,-20.93,-1.2,-0.15
2023-06-24 02:30:00,-67.86,-6.1,-3.59,-1.4
2023-06-24 03:00:00,-67.76,-13.31,,0.3
2023-06-24 03:30:00,-66.18,-12.97,-0.91,-0.08
2023-06-24 04:00:00,-59.29,-2.52,-1.6,-0.88
2023-06-24 04:30:00,-46.85,12.93,-0.09,-0.2
2023-06-24 05:00:00,-6.32,21.18,-0.17,0.23
2023-06-24 05:30:00,32.95,44.44,-0.7,6.6
2023-06-24 06:00:00,83.7,24.71,18.62,18.09
2023-06-24 06:30:00,92.81,-1.22,41.65,18.58
2023-06-24 07:00:00,167.23,-2.67,49.82,50.11
2023-06-24 07:30:00,323.76,-13.57,81.72,48.14
2023-06-24 08:00:00,414.66,0.92,135.12,74.82
2023-06-24 08:30:00,476.44,74.39,191.7,133.66
2023-06-24 09:00:00,531.77,139.65,164.72,124.05
2023-06-24 09:30:00,578.44,158.46,219.87,181.66
2023-06-24 10:00:00,614.14,159.22,250.87,212.95
2023-06-24 10:30:00,639.31,129.66,254.94,224.52
2023-06-24 11:00:00,656.18,77.31,278.58,267.77
2023-06-24 11:30:00,658.37,37.64,208.55,228.99
2023-06-24 12:00:00,646.84,18.33,229.97,332.06
2023-06-24 12:30:00,624.52,19.26,238.76,355.6
2023-06-24 13:00:00,590.12,20.01,166.89,232.73
2023-06-24 13:30:00,547.65,14.33,156.79,251.55
2023-06-24 14:00:00,497.62,-1.11,172.08,292.57
2023-06-24 14:30:00,441.39,-22.82,178.2,344.52
2023-06-24 15:00:00,378.91,-49.19,123.93,298.43
2023-06-24 15:30:00,310.51,-61.88,94.26,291.7
2023-06-24 16:00:00,237.86,-57.8,77.74,260.93
2023-06-24 16:30:00,168.25,-43.34,30.95,201.43
2023-06-24 17:00:00,103.39,-30.26,19.92,168.27
2023-06-24 17:30:00,35.58,-22.1,4.89,134.5
2023-06-24 18:00:00,-29.84,-31.77,-8.36,98.36
2023-06-24 18:30:00,-83.77,-49.44,-21.71,70.01
2023-06-24 19:00:00,-98.36,-71.26,-31.74,34.05
2023-06-24 19:30:00,-95.33,-94.6,-16.7,20.99
2023-06-24 20:00:00,-91.7,-103.99,-14.18,17.13
2023-06-24 20:30:00,-89.19,-96.02,,3.96
2023-06-24 21:00:00,-86.51,-83.43,-6.41,6.18
2023-06-24 21:30:00,-79.8,-65.78,-6.36,5.67
2023-06-24 22:00:00,-75.54,-46.41,-8.77,7.34
2023-06-24 22:30:00,-73.64,-32.44,-4.76,2.02
2023-06-24 23:00:00,-79.09,13.01,-4.35,3.38
2023-06-24 23:30:00,-79.06,51.38,-3.27,1.8
